urlOfProject,nameOfProject,descriptionOfProject,problemSolved,challengesFaced,technologiesUsed
https://devfolio.co/projects/dress-colour-changer-c99c,Dress colour changer,Change colour of dress with the AI,,,"TensorFlow, OpenCV-Python, Python3, CUDA"
https://devfolio.co/projects/circuit-solver-4a00,Circuit Solver,"To solve a circuit by scanning its image. We need to click a picture of an electronic circuit and 
it will solve the circuit for us.",,,"OpenCV, Deep Learning, Tkinter, Python"
https://devfolio.co/projects/teleport,Teleport,A Google meet for files with the convenience of airdrop,,,"React, WebRTC, Node, Web-Torrent"
https://devfolio.co/projects/dbuz,Dbuz,"A smart, secure and streamlined transportation system.",,,"Firebase, Raspberry Pi, Java, Mapbox, Figma, Python - OpenCV, GPS module, IBM Watson Assistant., API Integration, GPRS module"
https://devfolio.co/projects/using-ai-x-chainlinkrvf-to-train-emotions-df85,Training Emotion Models with AI and Chainlink VRF,Emotion-Aware Oracles for Enhanced On-Chain Decisi,,,"Solidity, React, Python"
https://devfolio.co/projects/artsky-271c,Artsky,A loyalty Membership Brand based on NFT,,,"Solidity, PHP, MySQL, CodeIgniter, google cloud, Payment gateways, RESTful APIs"
https://devfolio.co/projects/hd-4698,ดู-หนัง วิมานหนาม 2024 เต็มเรื่อง [HD] พากย์ไทย,ดูหนัง The Paradise of Thorns (2024) วิมานหนาม เต็มเรื่อง HD พากย์ไทย,,,Bobble AI
https://devfolio.co/projects/type-write-f0cd,Login,"Don't just get lost,  login it.",,,"Vanilla JS, CSS3​, HTML5​"
https://devfolio.co/projects/sevashop,SevaShop,Take any service online,,,"React, Firebase, JavaScript, Next.js, GraphQL, Figma, PostgreSQL, TypeScript, DigitalOcean, Vercel"
https://devfolio.co/projects/ai-image-caption-bot,AI Image Caption Bot,We took a data set from Kaggle named Flickr (with 30K images). In our ML-DL model these set of images were fed as the input and corresponding to it a caption was generated with each image.,,,"Machine Learning, Deep Learning, Artificial Intelligence, Python, Image Processing, Tensorflow & Keras, AI/ML, LSTM-Keras, ResNet50"
https://devfolio.co/projects/workify-3,Workify,"Work and get paid when you're free, Get work done when you're busy",,,"React, Node.js, Firebase, Socket.IO, Express.js, MongoDB, Computer Vision, Stripe API, NLP, Tessaract"
https://devfolio.co/projects/teamforhack,TeamForHack,Team Building Platform for Hackathons!,,,"jQuery, Socket.IO, Figma, MongoDB, HTML/CSS, OAuth2.0, EJS Templating Library, Nodejs, аноним сторис"
https://devfolio.co/projects/sospawn-9ca6,SOSPAWN,Lie down and earn money!,,,"Solidity, PHP, CodeIgniter, HTML/CSS"
https://devfolio.co/projects/ruralcareai-6dd4,rural-care.ai,Empowering Rural Healthcare+Telemedicine with AI,,,"Django, HTML/CSS, ZegoCloud"
https://devfolio.co/projects/certificate-generator-1,Certificate Generator,Want to create a certificate just ping us !!,,,"JavaScript, HTML5, CSS3, React.js"
https://devfolio.co/projects/titi-a132,TiTi,TiTi- The world's first Web3 short video social platform on base and bring the next billion users onchain!,,,"Blockchain, Smart Contracts"
https://devfolio.co/projects/instadapp-using-makerdao-kyber-network-and-embark-framework,"InstaDapp - Using MakerDAO, Kyber Network & Embark framework","Resolver contract & Dapp on top of MakerDAO CDP for Loan, Trade / Swap ERC20 tokens against margin or collateral of ETH and repay Loan (Protocols used: MakerDAO CDP, Kyber Network)",,,"Solidity, Embark Framework"
https://devfolio.co/projects/sorting-visualizer-484b,Sorting Visualizer,"This project sorting visualizer is a very simple UI which allows the users to select the sort algorithm, select the array size, and speed of the visualization.",,,"HTML, CSS, JavaScript"
https://devfolio.co/projects/chat-spammer-f6a9,Chat Spammer,Python bot of control able loop to spam in chats. Works on all kinds of chat systems. Please make sure to consult the victim before using this.,,,Python
https://devfolio.co/projects/researchgpt-the-aipowered-research-assistant-1ecc,researchGPT : The AI-Powered research Assistant.,Utilise documents without actually reading them!,,,"Flask, Pinecone, openAI Completion API, openAI embedding API"
https://devfolio.co/projects/generative-fashion-site,Virtual Trial Room - A site to try clothes online,"We are creating a fashion shopping site where people can virtually try on clothes. Just upload your pic, choose a garment. You would get an image of yourself with new clothes.",,,"HTML, CSS, Flask, PyTorch, Deep Learning, Artificial Intelligence, Generative Advarsarial Networks (GANs), Artificial Neural Network"
https://devfolio.co/projects/kisanai-499c,Kisan.ai,"Farm Smart, Track Easy: Simplifying Your Inventory Management.",,,"Django, Artificial Intelligence"
https://devfolio.co/projects/simple-hospital-management-system-in-python,SIMPLE HOSPITAL MANAGEMENT SYSTEM IN PYTHON,Simple Hospital Management System project is written in Python. The project file contains a python script (project.py). This is a simple console based project which is very easy to understand and use.,,,Python
https://devfolio.co/projects/el-diario-de-layla-gian-franco-pdf-6877,El diario de layla gian franco pdf,El diario de layla gian franco pdf,,,Python
https://devfolio.co/projects/criclive,CricLive,Live Cricket Anytime Anywhere,,,"REST API, WebSockets, Artificial Intelligence, Blender, Virtual Reality, Unity 3D, Webscraping, Node JS for back end"
https://devfolio.co/projects/obojima-pdf-c7e9,Obojima pdf,Obojima pdf,,,Python
